startup_name,year_died,funding_burned_usd,category,failure_reason,headquarters,investors,source,data_quality,founded
Frankly.me,2016,5000000,Social Media / Celeb Platform,Celebrity video Q&A platform failed to monetize,Gurugram,"Nexus VP, Qualcomm Ventures",https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms,Verified,2014.0
Spoonjoy,2016,3000000,Food Delivery,"Food tech startup couldn't scale, shut operations",Mumbai,"SAIF Partners, Grofers founders",https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms,Verified,2014.0
Autowale,2016,2000000,Auto Booking,Auto-rickshaw booking app shut due to unit economics,Pune,Angel investors,https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms,Verified,2012.0
Craftsvilla,2024,0,Unknown,Major decline,India,,,Known,
BYJU'S (crisis),2024,0,Unknown,"Massive layoffs, valuation crash",India,,,Known,
Unacademy (layoffs),2024,0,Unknown,Multiple rounds of layoffs,India,,,Known,
SuperLearn,2024,0,Unknown,Shut down,India,,,Known,
Udayy,2024,0,Unknown,Shut down,India,,,Known,
Crejo.Fun,2024,0,Unknown,Shut down,India,,,Known,
Roposo,2024,0,Unknown,Sold to Glance,India,,,Known,
ShareChat (layoffs),2024,0,Unknown,Major layoffs,India,,,Known,
Moj (owned by ShareChat),2024,0,Unknown,Layoffs with parent,India,,,Known,
Chingari,2024,0,Unknown,Decline,India,,,Known,
Koo,2024,0,Unknown,Shut down,India,,,Known,
PharmEasy (crisis),2024,0,Unknown,"Major layoffs, valuation crash",India,,,Known,
YourStory (layoffs),2024,0,Unknown,Layoffs,India,,,Known,
Meesho (layoffs),2024,0,Unknown,"Layoffs, restructuring",India,,,Known,
MPL,2024,0,Unknown,Major layoffs,India,,,Known,
Curefit (layoffs),2024,0,Unknown,"Layoffs, restructuring",India,,,Known,
UrbanClap/Urban Company (layoffs),2024,0,Unknown,Layoffs,India,,,Known,
Nestaway (decline),2024,0,Unknown,"Major layoffs, scaling down",India,,,Known,
GoMechanic,2024,0,Unknown,"Fraud allegations, crisis",India,,,Known,
BharatPe,2024,0,Unknown,"Founder controversy, layoffs",India,,,Known,
Pepperfry (layoffs),2024,0,Unknown,Layoffs,India,,,Known,
Furlenco (layoffs),2024,0,Unknown,Layoffs,India,,,Known,
Mobile Premier League,2024,0,Unknown,Layoffs,India,,,Known,
Oyo Rooms (crisis),2024,0,Unknown,"Massive layoffs, valuation crash",India,,,Known,
Dhani,2024,0,Unknown,"Major layoffs, pivot",India,,,Known,
Grabhouse,2024,0,Unknown,Merged with Quikr,India,,,Known,
JustRide,2024,0,Unknown,Lost to Ola/Uber,India,,,Known,
Snapdeal (partial),2024,0,Unknown,"Lost to Flipkart/Amazon, massive layoffs",India,,,Known,
Yebhi,2024,0,Unknown,"Market competition, funding issues",India,,,Known,
Doodhwala,2024,0,Unknown,Operational challenges,India,,,Known,
ShopClues (decline),2024,0,Unknown,Sold at massive loss to Qoo10,India,,,Known,
Quikr Assured,2024,0,Unknown,Service discontinued,India,,,Known,
Tolexo,2024,0,Unknown,IndiaMART shut it down,India,,,Known,
Eatlo,2024,0,Unknown,Competition from Swiggy/Zomato,India,,,Known,
Zomato Instant,2024,0,Unknown,10-min delivery discontinued,India,,,Known,
Grofers (pivoted),2024,0,Unknown,"Rebranded to Blinkit, sold to Zomato",India,,,Known,
Runnr,2024,0,Unknown,Merged into Zomato,India,,,Known,
Meru Cabs,2024,0,Unknown,"Massive decline, sold assets",India,,,Known,
Commonfloor,2024,0,Unknown,Merged with Quikr,India,,,Known,
Jugnoo,2024,0,Unknown,Failed to sustain,India,,,Known,
Zipgo,2024,0,Unknown,Shut operations,India,,,Known,
Ridlr,2024,0,Unknown,Ola sold/shut it,India,,,Known,
Housejoy,2024,0,Unknown,Major pivot/decline,India,,,Known,
ZipDial,2024,0,Unknown,Twitter shut it down,India,,,Known,
Hike Messenger,2024,0,Unknown,Couldn't compete with WhatsApp,India,,,Known,
Portea Medical,2024,0,Unknown,"Massive layoffs, scaled down",India,,,Known,
HealthKart (B2C),2024,0,Unknown,Pivoted to B2B (MuscleBlaze),India,,,Known,
Lybrate,2024,0,Unknown,Significant decline,India,,,Known,
Housing.com (original),2024,0,Unknown,"Founder fired, merged with PropTiger",India,,,Known,
Slice,2024,0,Unknown,"RBI restrictions, layoffs",India,,,Known,
