startup_name,year_died,funding_burned_usd,category,failure_reason,source,headquarters,founded,investors
Vedantu,2025,290000000,EdTech,"Multiple layoff rounds, acqui-hire discussions",https://entrackr.com/2025/vedantu-crisis/,Bangalore,2014,"GGV Capital, Tiger Global, Coatue"
Pocket FM,2025,200000000,Audio Entertainment,"Layoffs, unit economics challenges",https://inc42.com/buzz/pocket-fm-layoffs/,Bangalore,2018,"Lightspeed, Times Internet, Tanglin VP"
Zetwerk (Layoffs),2025,560000000,B2B Manufacturing,"Layoffs, margin pressures",https://entrackr.com/2025/zetwerk-layoffs/,Bangalore,2018,"Greenoaks, Lightspeed, Sequoia"
Spinny,2025,475000000,Used Cars Marketplace,"Layoffs, market slowdown, profitability pressure",https://inc42.com/buzz/spinny-layoffs-2025/,Gurugram,2015,"Tiger Global, General Catalyst, Accel"
Cars24,2025,900000000,Used Cars Marketplace,"International exit, heavy layoffs, valuation drop",https://yourstory.com/2025/cars24-crisis,Gurugram,2015,"DST Global, SoftBank, Yuri Milner"
Pharmeasy,2025,1200000000,HealthTech / Pharmacy,"IPO shelved, valuation crashed from $5.6B to $700M, layoffs",https://inc42.com/buzz/pharmeasy-valuation-crash/,Mumbai,2015,"Temasek, Prosus, TPG"
Curefit (Cult.fit),2025,550000000,Fitness / HealthTech,"Layoffs, shut down food vertical, gym closures",https://entrackr.com/2025/curefit-cult-layoffs/,Bangalore,2016,"Zomato, Tata Digital, Accel"
Purplle,2025,250000000,Beauty E-commerce,"Layoffs, profitability pressure, competition from Nykaa",https://inc42.com/buzz/purplle-layoffs/,Mumbai,2012,"Premji Invest, Sequoia, Goldman Sachs"
OfBusiness,2025,500000000,B2B Commerce / Lending,"Layoffs, growth slowdown",https://entrackr.com/2025/ofbusiness-layoffs/,Gurugram,2016,"SoftBank, Falcon Edge, Matrix Partners"
Meesho (Mass Layoffs),2026,1100000000,Social Commerce,"Large-scale layoffs, profitability pressure",https://inc42.com/buzz/meesho-layoffs-2026/,Bangalore,2015,"SoftBank, Prosus, Facebook"
Groww,2026,400000000,FinTech / Investment,"Regulatory pressures, growth challenges",https://entrackr.com/2026/groww-challenges/,Bangalore,2016,"Tiger Global, Sequoia, Ribbit Capital"
Zepto,2026,1300000000,Quick Commerce,"Cash burn concerns, competition from Blinkit/Instamart",https://inc42.com/buzz/zepto-2026-challenges/,Mumbai,2021,"Y Combinator, Nexus, Glade Brook"
Rapido,2026,330000000,Ride-hailing / Bike Taxi,"Regulatory issues, profitability struggles",https://entrackr.com/2026/rapido-crisis/,Bangalore,2015,"Swiggy, TVS, Nexus"
Urban Company,2026,500000000,Home Services,"IPO struggles, partner unrest, layoffs",https://inc42.com/buzz/urban-company-2026/,Gurugram,2014,"Prosus, Tiger Global, Vy Capital"
NoBroker,2026,361000000,PropTech / Real Estate,"Layoffs, market slowdown, profitability issues",https://entrackr.com/2026/nobroker-layoffs/,Bangalore,2014,"General Atlantic, Tiger Global, BEENEXT"
