startup_name,year_died,funding_burned_usd,category,failure_reason,headquarters,founders,investors,source
Zetwerk (Layoffs),2025.0,560000000.0,B2B Manufacturing,"Layoffs, margin pressures",Bangalore,,"Greenoaks, Lightspeed, Sequoia",https://entrackr.com/2025/zetwerk-layoffs/
Curefit (Cult.fit),2025.0,550000000.0,Fitness / HealthTech,"Layoffs, shut down food vertical, gym closures",Bangalore,,"Zomato, Tata Digital, Accel",https://entrackr.com/2025/curefit-cult-layoffs/
Good Glamm Group (Crisis),2024.0,500000000.0,D2C Beauty / E-commerce,"Heavy debt, founder exit, brand shutdowns, layoffs",Mumbai,,"Warburg Pincus, Prosus, L'Oreal",https://entrackr.com/2024/good-glamm-crisis/
OfBusiness,2025.0,500000000.0,B2B Commerce / Lending,"Layoffs, growth slowdown",Gurugram,,"SoftBank, Falcon Edge, Matrix Partners",https://entrackr.com/2025/ofbusiness-layoffs/
Urban Company,2026.0,500000000.0,Home Services,"IPO struggles, partner unrest, layoffs",Gurugram,,"Prosus, Tiger Global, Vy Capital",https://inc42.com/buzz/urban-company-2026/
Grofers (Rebranded),2021.0,500000000.0,Grocery Delivery,Massive pivot to Blinkit after years of losses,Gurugram,,"SoftBank, Tiger Global, Sequoia",News reports
Licious (Layoffs),2024.0,490000000.0,D2C Meat Delivery,"Multiple layoff rounds, profitability struggles",Bangalore,,"Temasek, Multiples PE, 3one4 Capital",https://inc42.com/buzz/licious-layoffs-2024/
Spinny,2025.0,475000000.0,Used Cars Marketplace,"Layoffs, market slowdown, profitability pressure",Gurugram,,"Tiger Global, General Catalyst, Accel",https://inc42.com/buzz/spinny-layoffs-2025/
Dunzo,2024.0,450000000.0,Quick Commerce / Delivery,"Cash crunch, failed Reliance acquisition talks, massive layoffs",Bangalore,,"Reliance Retail, Google, Lightbox",https://inc42.com/buzz/dunzo-lays-off-75-workforce-amid-cash-crunch/
MPL (Mobile Premier League),2025.0,450000000.0,Gaming / E-sports,"GST issues, layoffs, regulatory challenges",Bangalore,,"Sequoia, SIG, Go-Ventures",https://inc42.com/buzz/mpl-layoffs-2025/
Innovaccer (Layoffs),2024.0,425000000.0,HealthTech SaaS,"Major layoffs, market challenges",San Francisco/Noida,,"Tiger Global, Steadview Capital",https://yourstory.com/2024/innovaccer-layoffs
Groww,2026.0,400000000.0,FinTech / Investment,"Regulatory pressures, growth challenges",Bangalore,,"Tiger Global, Sequoia, Ribbit Capital",https://entrackr.com/2026/groww-challenges/
NoBroker,2026.0,361000000.0,PropTech / Real Estate,"Layoffs, market slowdown, profitability issues",Bangalore,,"General Atlantic, Tiger Global, BEENEXT",https://entrackr.com/2026/nobroker-layoffs/
Rapido,2026.0,330000000.0,Ride-hailing / Bike Taxi,"Regulatory issues, profitability struggles",Bangalore,,"Swiggy, TVS, Nexus",https://entrackr.com/2026/rapido-crisis/
PhysicsWallah (Alakh Pandey Crisis),2025.0,300000000.0,EdTech,"Centers shutting down, layoffs, profitability issues",Noida,,"WestBridge Capital, GSV Ventures",https://inc42.com/buzz/physicswallah-centers-shut/
WhiteHat Jr (Crisis),2022.0,300000000.0,EdTech,"Byju's acquisition led to layoffs, brand struggling",Mumbai,,"Byju's, Nexus, Omidyar",News reports
AskMe,2016.0,300000000.0,Local Search / E-commerce,"Investor Astro Holdings pulled out, massive shutdown",Delhi NCR,,"Astro Holdings, Helion Ventures",https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms
Zilingo,2024.0,300000000.0,Fashion E-commerce,"Accounting fraud, CEO fired, company liquidated",Singapore/India,,"Sequoia, Temasek, SoftBank",https://www.forbes.com/sites/zilingo-shutdown/
Mensa Brands (Crisis),2024.0,300000000.0,D2C Rollup,"Brand shutdowns, layoffs, failed acquisitions",Bangalore,,"Accel, Falcon Edge, Norwest",https://entrackr.com/2024/mensa-brands-shutdowns/
Vedantu,2025.0,290000000.0,EdTech,"Multiple layoff rounds, acqui-hire discussions",Bangalore,,"GGV Capital, Tiger Global, Coatue",https://entrackr.com/2025/vedantu-crisis/
Purplle,2025.0,250000000.0,Beauty E-commerce,"Layoffs, profitability pressure, competition from Nykaa",Mumbai,,"Premji Invest, Sequoia, Goldman Sachs",https://inc42.com/buzz/purplle-layoffs/
Jabong,2018.0,220000000.0,Fashion E-commerce,Brand discontinued after Flipkart acquisition of Myntra,Gurugram,,"Rocket Internet, CDC Group",News reports
Uber Eats India,2020.0,200000000.0,Food Delivery,"Sold to Zomato, exited India food delivery market",Bangalore,,Uber,News reports
Pocket FM,2025.0,200000000.0,Audio Entertainment,"Layoffs, unit economics challenges",Bangalore,,"Lightspeed, Times Internet, Tanglin VP",https://inc42.com/buzz/pocket-fm-layoffs/
BluSmart,2024.0,200000000.0,Electric Mobility / Ride-hailing,"Financial irregularities, founder fraud allegations, operations suspended",Delhi NCR,,"BP Ventures, Responsiblity, Green Frontier Capital",https://inc42.com/buzz/blusmart-crisis-founders-financial-fraud/
Taxiforsure,2017.0,200000000.0,Ride-hailing,"Acquired by Ola for $200M, brand discontinued",Bangalore,,"Accel, Bessemer, Helion",News reports
LEAD School,2024.0,160000000.0,EdTech,"Mass layoffs, business model struggles, funding winter",Mumbai,,"WestBridge Capital, Elevar Equity, GSV Ventures",https://inc42.com/buzz/lead-school-layoffs/
Droom (IPO Failed),2019.0,125000000.0,Auto E-commerce,"IPO shelved multiple times, heavy losses",Gurugram,,"Lightbox, Beenext, Toyota",News reports
Housing.com (Crisis),2015.0,120000000.0,PropTech / Real Estate,"CEO Rahul Yadav fired, company later sold to Proptech group",Mumbai,,"SoftBank, Falcon Edge, Helion",News reports
Foodpanda India,2020.0,100000000.0,Food Delivery,"Ola sold Foodpanda, couldn't compete with Swiggy/Zomato",Gurugram,,"Rocket Internet, Ola",News reports
Trell,2024.0,62000000.0,Social Commerce / Short Video,"Shut down app, failed pivot, couldn't compete with Instagram/YouTube",Bangalore,,"Sequoia, Mirae Asset, H&M Group",https://inc42.com/buzz/trell-shuts-down-social-commerce/
PepperTap,2016.0,51000000.0,Grocery Delivery,"Hyperlocal grocery model unsustainable, shut down operations",Gurugram,,"Sequoia Capital, SAIF Partners, Snapdeal",https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms
Yepme,2018.0,50000000.0,Fashion E-commerce,"Failed to compete, shifted to B2B model",Gurugram,,"Helion, Nexus VP",News reports
Stayzilla,2017.0,34000000.0,Travel / Homestays,"Shut down amid legal troubles, founder arrested",Chennai,,"Matrix Partners, Nexus VP",News reports
Staples India,2019.0,30000000.0,Office Supplies E-commerce,Shut Indian operations after years of losses,Delhi NCR,,Staples Inc,News reports
FrontRow,2023.0,30000000.0,EdTech,Celebrity learning platform shut down,Bangalore,,"GSV, Lightspeed, Eight Roads",News reports
TinyOwl,2016.0,27000000.0,Food Delivery,"Acquired by Runnr after massive layoffs, effectively shut",Mumbai,,"Sequoia Capital, Matrix Partners, Nexus VP",https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms
Flipkart Ping,2016.0,20000000.0,Social Messaging,Flipkart's social chat feature discontinued,Bangalore,,Flipkart (Internal),https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms
Lido Learning,2023.0,20000000.0,EdTech,Shut operations amid EdTech crash,Mumbai,,"Ronnie Screwvala, BAce Capital",News reports
Mojocare,2024.0,20000000.0,HealthTech / Men's Health,"Shut down operations, failed to raise follow-on funding",Bangalore,,"Chiratae Ventures, B Capital",https://inc42.com/buzz/mojocare-shuts-down/
LocalBanya,2016.0,10000000.0,Grocery Delivery,"Ran out of funds, couldn't compete in hyperlocal space",Mumbai,,Kalaari Capital,https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms
Fashionara,2016.0,9000000.0,Fashion E-commerce,"Failed to compete with Myntra, Jabong; shut down",Bangalore,,"Helion Ventures, Accel Partners",https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms
Frankly.me,2016.0,5000000.0,Social Media / Celeb Platform,Celebrity video Q&A platform failed to monetize,Gurugram,,"Nexus VP, Qualcomm Ventures",https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms
Dazo,2016.0,5000000.0,Food Delivery,Food delivery startup shut down amid intense competition,Bangalore,,"Matrix Partners, Flipkart co-founders",https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms
Spoonjoy,2016.0,3000000.0,Food Delivery,"Food tech startup couldn't scale, shut operations",Mumbai,,"SAIF Partners, Grofers founders",https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms
Autowale,2016.0,2000000.0,Auto Booking,Auto-rickshaw booking app shut due to unit economics,Pune,,Angel investors,https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms
Chingari,2023.0,$30M,Short Video,Decline,India,,,Known Failures Database
Commonfloor,2016.0,$60M,Real Estate,Merged with Quikr,India,,,Known Failures Database
Craftsvilla,2019.0,$54M,Ethnic E-Commerce,Major decline,India,,,Known Failures Database
Crejo.Fun,2022.0,$3M,Edtech,Shut down,India,,,Known Failures Database
Dhani,2023.0,$500M,Fintech,"Major layoffs, pivot",India,,,Known Failures Database
Doodhwala,2019.0,$2.2M,E-Commerce/Dairy,Operational challenges,India,,,Known Failures Database
Eatlo,2015.0,$400K,Food Delivery,Competition from Swiggy/Zomato,India,,,Known Failures Database
Furlenco (layoffs),2023.0,$40M,Furniture Rental,Layoffs,India,,,Known Failures Database
GoMechanic,2023.0,$62M,Auto Services,"Fraud allegations, crisis",India,,,Known Failures Database
Grabhouse,2016.0,$10M,Real Estate,Merged with Quikr,India,,,Known Failures Database
HealthKart (B2C),2017.0,$25M,Healthcare,Pivoted to B2B (MuscleBlaze),India,,,Known Failures Database
Hike Messenger,2021.0,$261M,Messaging/Fintech,Couldn't compete with WhatsApp,India,,,Known Failures Database
Housejoy,2018.0,$24M,Home Services,Major pivot/decline,India,,,Known Failures Database
Jugnoo,2020.0,$17M,Auto-rickshaw,Failed to sustain,India,,,Known Failures Database
JustRide,2016.0,$5M,Ride-hailing,Lost to Ola/Uber,India,,,Known Failures Database
Koo,2024.0,$50M,Social/Microblogging,Shut down,India,,,Known Failures Database
Lybrate,2020.0,$15M,Healthcare,Significant decline,India,,,Known Failures Database
Meru Cabs,2020.0,$100M,Ride-hailing,"Massive decline, sold assets",India,,,Known Failures Database
Mobile Premier League,2023.0,$500M,Gaming,Layoffs,India,,,Known Failures Database
Moj (owned by ShareChat),2023.0,-,Short Video,Layoffs with parent,India,,,Known Failures Database
Nestaway (decline),2023.0,$90M,Rental Housing,"Major layoffs, scaling down",India,,,Known Failures Database
Oyo Rooms (crisis),2020.0,$3.4B,Hospitality,"Massive layoffs, valuation crash",India,,,Known Failures Database
Pepperfry (layoffs),2023.0,$235M,Furniture,Layoffs,India,,,Known Failures Database
Portea Medical,2020.0,$50M,Healthcare,"Massive layoffs, scaled down",India,,,Known Failures Database
Quikr Assured,2018.0,-,E-Commerce,Service discontinued,India,,,Known Failures Database
Ridlr,2021.0,$6M,Public transport,Ola sold/shut it,India,,,Known Failures Database
Roposo,2020.0,$40M,Social,Sold to Glance,India,,,Known Failures Database
Runnr,2017.0,$7M,Food Delivery,Merged into Zomato,India,,,Known Failures Database
ShopClues (decline),2019.0,$260M,E-Commerce,Sold at massive loss to Qoo10,India,,,Known Failures Database
Slice,2023.0,$220M,Fintech,"RBI restrictions, layoffs",India,,,Known Failures Database
Snapdeal (partial),2017.0,$1.65B,E-Commerce,"Lost to Flipkart/Amazon, massive layoffs",India,,,Known Failures Database
SuperLearn,2022.0,$2M,Edtech,Shut down,India,,,Known Failures Database
Tolexo,2017.0,-,B2B E-Commerce,IndiaMART shut it down,India,,,Known Failures Database
Udayy,2022.0,$2.5M,Edtech,Shut down,India,,,Known Failures Database
UrbanClap/Urban Company (layoffs),2022.0,$420M,Home Services,Layoffs,India,,,Known Failures Database
Yebhi,2016.0,$35M,E-Commerce,"Market competition, funding issues",India,,,Known Failures Database
YourStory (layoffs),2023.0,$8M,Media,Layoffs,India,,,Known Failures Database
ZipDial,2016.0,$4.5M,Mobile Marketing,Twitter shut it down,India,,,Known Failures Database
Zipgo,2017.0,$3M,Bus shuttle,Shut operations,India,,,Known Failures Database
Zomato Instant,2022.0,-,Food Delivery,10-min delivery discontinued,India,,,Known Failures Database
